Bucket label,m/z,Name,Formula,Topical_X401Y338-X415Y353,Topical_X440Y338-X454Y353,Topical_X478Y338-X492Y353,Topical_X516Y338-X530Y353,Topical_X554Y293-X568Y308,Topical_X592Y292-X606Y307,Topical_X630Y293-X644Y308,Topical_X668Y293-X682Y308,Topical_X706Y293-X720Y308,Topical_X744Y293-X758Y308,Topical_X781Y293-X795Y308,Topical_X819Y293-X833Y308,Topical_X554Y337-X568Y352,Topical_X592Y338-X606Y353,Topical_X630Y338-X644Y353,Topical_X667Y338-X681Y353,Topical_X706Y338-X720Y353,Topical_X743Y338-X757Y353,Topical_X781Y338-X795Y353,Topical_X819Y338-X833Y353
Regions,,,,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Aveeno,Cons Control,Cons Control,Cons Control,Cons Control,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons GoldBond,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Eucerin,Cons Vaseline,Cons Vaseline,Cons Vaseline,Cons Vaseline
427.2511472306 Da,428.25883,,,2214055.75,2138827.5,2219584.5,1637601.75,436110.2813,0,509580.6563,0,2963098,3490396,3300588,2847662.25,3194150,3870702.5,3133670.5,3711135.75,6823174.5,6016100.5,4025793.75,4606429
345.0306908636 Da,346.03798,,,1257462.625,1270768.125,1245263.125,1008276.188,1130653.625,649771,504595.8438,880711.0625,2592356.75,2680131,3077367.75,2028313.125,1434273,740294.8125,982768.625,885744.375,1970559.875,1930444.5,2492964.75,1830300.75
308.0371449364 Da,347.00576,,,0,0,0,0,0,0,0,0,0,0,0,24484.02539,0,0,0,0,0,0,0,0
702.0997441893 Da,725.08899,,,489197.125,564273.1875,612061.6875,488827.8125,1100673.25,1243441,1200531.125,1084786.625,0,739202.0625,726246.6875,656044,0,917498.75,769830.875,0,1050947.375,1166860.5,880363.6875,757700.25
369.9780453486 Da,370.98498,,,398358.0625,452961,303025.9375,308252.375,249017.25,262056.8906,229064.0625,351227.125,0,0,0,0,407261.6563,194382.5781,269218.4688,0,0,0,0,0
575.3403186062 Da,598.32978,,,1193728.25,1173851.125,1542931.375,1150382.375,1672776.75,1949130.25,3050673.5,1932974.625,1315165.875,1804671,1791363,1498711,0,1606982.375,1059682.375,1385122.625,1904247.875,1938738.25,895014,0
802.1653198052 Da,825.15464,,,484831.7188,587726.875,741130.4375,576819.9375,637638.75,698912,553653.6875,673087.25,513054.1563,521225.1875,544670.75,453184.6563,733624.3125,627977.0625,669984,570638.875,623664.0625,730813.3125,652209.0625,487628.1563
719.4701639440 Da,720.47831,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353.0546852510 Da,376.04357,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495.3292293003 Da,496.3369,,,0,0,0,0,0,0,0,0,1209287.75,2978285.5,2152440.25,1834512.75,382512.8438,820824.4375,555088.5,334036.4375,0,0,0,0
342.1114401697 Da,365.10257,,,621206.75,563189.375,494014.2813,415729,898082.8125,798435.625,616107.8125,893356.875,1135170.375,949808.5,1030475.875,693433.875,780436.4375,547954.875,640837.25,827543.875,592894.8125,612848.6875,605507.375,412372.3438
461.0877683756 Da,462.09641,,,3031092.25,3615446,2305196.5,1820646.625,6202214.5,6615369.5,5711263,6975945,1625821,1240886.875,1175484,895277.5,2429208,2193270.5,1996309.125,3179661.5,712787.75,1535483.875,1021136.75,770169.5625
244.0264523174 Da,282.98941,,,91712.46094,93769.39844,75377.58594,57350.36719,465308.4688,420026.8125,296428.1563,363486.125,364118.375,197244.8594,201578.9375,109326.7031,223594.9219,179540.2969,186318.2969,323124.3125,73670.57031,65058.19141,48748.34375,0
265.9878244095 Da,266.99464,,,73147.17969,80538.15625,50869.74219,40891.86719,325389.7188,261676.5781,183672.125,259636.8125,239345.5156,134970.125,156424.8594,86302.875,174685.3438,114964.4688,128010.6875,233136.7656,44949.90625,42486.72266,34687.08984,19366.86914
1099.5627155222 Da,1100.57214,,,1126338.25,1463932.375,1530449.125,1041046.75,2020791.125,3135660.75,4374067,2884473.25,1118853.75,1940454.625,1353897.125,1208433.5,786857.5,2796981.25,1415256.5,1198567.125,1883104.375,1747454.5,580913.3125,729200.6875
